partido,province,ayunt,cedulas,ciudades,villas,lugares,aldeas,grupos
Medinaceli,Soria,35,3954,0,7,35,2,453
Miranda de Ebro,Burgos,19,3402,0,28,50,0,3
Moguer,Huelva,8,5527,1,7,0,1,6
Molina,Guadalajara,75,9058,1,27,71,0,77
Moncada,Valencia,22,5807,0,5,17,0,10
Mondoñedo,Lugo,8,10550,1,2,4,1191,6
Monforte,Lugo,5,9263,0,1,4,988,17
Monovar,Alicante,5,4927,0,4,1,0,0
Montblanc,Tarragona,30,6986,0,7,42,5,37
Montefrío,Granada,2,3874,0,2,4,0,2
Montilla,Córdoba,1,3937,1,0,0,1,0
Montoro,Córdoba,4,5442,1,3,0,2,2
Montánchez,Cáceres,14,5483,0,10,4,0,2
Mora de Rubielos,Teruel,23,6780,0,10,13,3,2
Morella,Castellón,24,5267,0,11,13,4,38
Morón,Sevilla,6,8022,0,6,0,1,52
Motilla del Palancar,Cuenca,37,9930,0,30,7,12,5
Motril,Granada,14,9303,2,6,9,3,1
Mula,Murcia,11,8552,0,11,0,2,5
Murcia,Murcia,6,25089,1,5,20,1,0
Murias de Paredes,León,14,5209,0,9,111,41,6
Muros,Coruña,4,5572,0,1,3,310,0
Murviedro,Valencia,24,7395,0,5,19,2,3
Málaga,Málaga,8,29364,1,2,5,2,3
Mérida,Badajoz,24,8079,1,13,10,0,2
Nava del Rey,Valladolid,9,4586,0,8,1,0,5
Navahermosa,Toledo,17,6610,0,8,10,3,4
Navalcarnero,Madrid,20,3981,0,21,3,2,2
Navalmoral de la Mata,Cáceres,31,5769,0,20,11,1,10
Negreira,Coruña,5,6678,0,0,3,500,0
Novelda,Alicante,5,5487,0,4,1,2,0
Noya,Coruña,6,8972,0,4,3,595,1
Nules,Castellón,9,6001,0,8,1,0,9
Nájera,Logroño,43,6415,1,38,4,3,80
Ocaña,Toledo,12,6931,0,12,0,1,2
Olivenza,Badajoz,10,5489,1,9,0,4,0
Olmedo,Valladolid,34,6412,0,16,18,5,28
Olot,Girona,29,8666,0,6,13,1,0
Olvera,Cádiz,8,6219,0,8,0,1,4
Onteniente,Valencia,5,5275,0,4,1,0,1
Orense,Orense,11,13420,1,3,332,269,91
Orgaz,Toledo,13,7063,0,8,7,0,0
Orgiva,Granada,31,8280,0,6,27,1,4
Orihuela,Alicante,10,8690,1,1,8,8,0
Ortigueira,Coruña,5,7765,0,3,2,1134,1
Osuna,Sevilla,7,7207,0,7,0,2,0
Oviedo,Oviedo,11,16360,1,4,540,0,29
Padrón,Coruña,5,7263,0,2,3,428,1
Palencia,Palencia,21,7737,1,22,2,0,15
Palma de Mallorca,Baleares,18,23211,1,17,11,1,2
Pamplona,Navarra,82,21066,1,29,246,0,32
Pastrana,Guadalajara,30,5843,0,30,0,0,30
Pego,Alicante,14,3805,0,4,21,0,0
Peñafiel,Valladolid,30,4762,0,19,11,4,66
Peñaranda de Bracamonte,Salamanca,34,6062,0,22,12,0,0
Piedrabuena,Ciudad Real,16,3931,0,8,8,3,2
Piedrahita,Ávila,66,7832,0,16,92,0,8
Pina,Zaragoza,17,5431,0,9,9,0,12
Plasencia,Cáceres,24,6819,1,7,15,0,6
Ponferrada,León,26,10721,0,20,143,6,10
Pontevedra,Pontevedra,11,13548,1,3,420,219,11
Posadas,Córdoba,7,5491,0,7,0,15,1
Potes,Santander,8,2689,0,1,56,42,2
Pozoblanco,Córdoba,10,5927,0,10,0,0,3
Pravia,Oviedo,4,8736,0,4,245,0,1
Priego,Cuenca,43,5395,0,15,29,0,22
Priego de Córdoba,Córdoba,4,5825,0,4,0,8,3
Puebla de Alcocer,Badajoz,13,4803,0,11,2,1,2
Puebla de Sanabria,Zamora,37,7744,0,8,115,0,5
Puebla de Trives,Orense,9,6403,0,5,127,206,59
Puente del Arzobispo,Toledo,27,7706,0,10,18,3,15
Puente-Caldelas,Pontevedra,4,6397,0,0,175,20,0
Puentedeume,Coruña,9,7588,0,4,5,458,0
Puenteáreas,Pontevedra,4,10134,0,1,374,212,0
Puerto de Santa María,Cádiz,2,7413,1,1,0,0,14
Purchena,Almería,21,9028,1,20,0,2,1
Quintanar de la Orden,Toledo,9,6364,0,9,0,0,1
Quiroga,Lugo,4,4871,0,3,1,400,12
Ramales,Santander,5,2600,0,1,38,19,11
Redondela,Pontevedra,4,6632,0,1,181,48,0
Reinosa,Santander,13,4428,0,4,139,22,0
Requena,Valencia,7,6244,1,5,1,24,2
Reus,Tarragona,18,11664,1,10,7,0,10
Riaza,Segovia,42,4094,0,13,41,1,68
Riaño,León,17,4512,0,31,80,2,7
Ribadavia,Orense,9,7713,0,1,242,89,40
Ribadeo,Lugo,5,5364,0,1,4,412,13
Ribas,Girona,39,6322,0,7,43,7,4
Roa,Burgos,27,4180,0,18,10,0,10
Ronda,Málaga,12,8677,1,11,0,0,2
Rute,Córdoba,5,5071,0,5,0,1,0
Sacedón,Guadalajara,23,4016,0,22,3,0,56
Sahagún,León,29,5899,0,20,76,0,65
Salamanca,Salamanca,61,9970,1,12,58,0,2
Salas de los Infantes,Burgos,50,6692,0,41,32,5,17
Saldaña,Palencia,54,6991,0,25,79,1,24
San Clemente,Cuenca,24,7251,0,21,4,15,1
San Fernando,Cádiz,2,7262,1,1,0,0,3
San Martín de Valdeiglesias,Madrid,11,3215,0,11,0,6,0
San Mateo,Castellón,9,5213,0,8,1,0,20
San Roque,Cádiz,4,5710,1,3,0,0,9
San Sebastián,Guipuzcoa,15,8264,2,8,26,0,2
San Vicente de la Barquera,Santander,10,4215,0,3,52,27,1
Sanlúcar de Barrameda,Cádiz,3,6237,1,2,0,0,3
Sanlúcar la Mayor,Sevilla,17,7497,1,16,0,1,0
Sant Feliu de Llobregat,Barcelona,32,8509,0,6,25,2,3
Santa Coloma de Farnés,Girona,29,10670,0,13,12,0,0
Santa María de Nieva,Segovia,53,6669,0,9,46,0,17
Santafé,Granada,18,6503,1,5,13,1,0
Santander,Santander,6,8199,1,0,39,0,0
Santiago,Coruña,5,9298,1,0,4,504,0
Santo Domingo de la Calzada,Logroño,23,4251,1,19,3,30,49
Sariñena,Huesca,32,4901,0,6,31,0,212
Sarria,Lugo,6,6882,0,3,4,980,21
Sedano,Burgos,25,3401,0,8,82,0,7
Segorbe,Castellón,18,6035,1,5,12,4,41
Segovia,Segovia,65,10729,1,12,71,1,10
Segura,Teruel,51,6194,0,8,46,1,19
Segura de la Sierra,Jaén,11,4644,0,11,0,6,3
Seo de Urgel,Lérida,46,6192,1,6,101,17,6
Sepúlveda,Segovia,63,7082,0,25,55,4,55
Sequeros,Salamanca,47,7658,0,25,46,0,6
Sevilla,Sevilla,25,38223,1,24,1,1,12
Sigüenza,Guadalajara,51,5543,1,18,49,0,38
Solsona,Lérida,29,5725,1,10,16,15,0
Sorbas,Almería,10,5766,0,10,2,0,2
Soria,Soria,106,10868,1,13,145,0,291
Sort,Lérida,36,4401,0,11,107,5,4
Sos,Zaragoza,25,4595,0,10,18,0,10
Sueca,Valencia,6,7163,0,5,1,0,10
Tabeiros,Pontevedra,3,8995,0,1,348,157,1
Tafalla,Navarra,28,8769,2,20,25,0,61
Talavera de la Reina,Toledo,32,9043,0,22,13,1,51
Tamarite,Huesca,18,5434,0,12,9,7,83
Tarancón,Cuenca,21,7118,0,21,0,1,1
Tarazona,Zaragoza,18,4616,1,7,10,0,15
Tarragona,Tarragona,13,6485,1,3,12,5,15
Tarrasa,Barcelona,23,10231,0,5,17,5,2
Teruel,Teruel,33,6421,1,9,23,3,27
Toledo,Toledo,13,7507,1,3,9,1,0
Tolosa,Guipuzcoa,40,7762,0,31,26,0,2
Tordesillas,Valladolid,32,5962,0,18,14,2,30
Toro,Zamora,26,7038,1,6,19,0,20
Torrecilla de Cameros,Logroño,30,3670,0,28,2,15,51
Torrelaguna,Madrid,46,4904,0,20,32,1,6
Torrelavega,Santander,17,6351,0,6,80,11,1
Torrente,Valencia,15,7360,0,6,9,0,9
Torrijos,Toledo,26,8115,0,20,6,0,1
Torrox,Málaga,11,6831,0,11,0,0,0
Tortosa,Tarragona,22,14279,2,11,9,2,20
Totana,Murcia,5,6151,0,5,0,7,2
Tremp,Lérida,39,5965,0,13,109,5,5
Trujillo,Cáceres,19,7135,1,15,4,0,2
Tudela,Navarra,22,9730,3,17,5,0,17
Tuy,Pontevedra,7,11796,1,1,420,137,7
Ugíjar,Granada,17,6541,0,2,15,1,1
Utrera,Sevilla,5,7902,0,5,0,0,6
Valdeorras,Orense,7,6151,0,1,114,36,53
Valdepeñas,Ciudad Real,7,6662,0,7,0,0,1
Valderrobres,Teruel,16,4575,0,15,1,0,6
Valencia,Valencia,16,31170,1,2,13,0,134
Valencia de Alcántara,Cáceres,8,3736,0,2,7,0,7
Valencia de Don Juan,León,35,7556,0,28,52,5,76
Valladolid,Valladolid,17,12506,1,12,4,3,32
Valls,Tarragona,20,7531,0,10,15,2,15
Valmaseda,Vizcaya,21,6095,1,4,37,190,3
Valoria la Buena,Valladolid,26,4188,0,21,5,1,73
Valverde del Camino,Huelva,13,8187,0,13,0,13,15
Vendrell,Tarragona,26,5823,0,5,28,2,31
Vera,Almería,9,10634,2,5,3,2,0
Vergara,Guipuzcoa,15,7733,0,15,36,0,3
Verín,Orense,8,7500,0,6,137,18,33
Viana del Bollo,Orense,5,4553,0,4,95,19,82
Vich,Barcelona,50,11498,1,5,21,0,1
Viella,Lérida,19,2285,0,7,24,7,0
Vigo,Pontevedra,6,11551,1,2,426,164,0
Villacarriedo,Santander,13,5207,0,4,62,0,0
Villacarrillo,Jaén,9,7644,0,9,0,2,3
Villadiego,Burgos,38,4116,0,7,87,1,4
Villafranca del Bierzo,León,21,8754,0,7,123,39,5
Villafranca del Penedés,Barcelona,29,9588,0,7,25,0,3
Villajoyosa,Alicante,6,5661,0,6,0,0,0
Villalba,Lugo,5,7456,0,1,4,1111,6
Villalpando,Zamora,29,6163,0,12,17,0,40
Villalón de Campos,Valladolid,37,6733,0,25,12,1,62
Villanueva de la Serena,Badajoz,6,5488,1,5,0,1,0
Villanueva de los Infantes,Ciudad Real,16,5808,0,16,0,1,1
Villar del Arzobispo,Valencia,10,3485,0,6,4,3,3
Villarcayo,Burgos,28,11582,0,87,251,13,1
Villareal,Castellón,7,5269,0,5,2,0,20
Villaviciosa,Oviedo,3,6696,0,2,250,0,73
Villena,Alicante,6,4696,1,3,2,0,0
Vinaroz,Castellón,6,6632,1,5,0,0,11
Vitigudino,Salamanca,46,9826,0,20,40,0,2
Vitoria,Álava,47,12149,1,50,245,1,6
Viver,Castellón,24,6473,0,9,15,3,63
Vivero,Lugo,6,7972,0,1,5,842,13
Vélez-Málaga,Málaga,12,9715,1,8,3,0,3
Vélez-Rubio,Almería,5,5721,0,5,0,4,1
Yecla,Murcia,2,5443,0,2,0,2,0
Yeste,Albacete,8,5199,0,8,0,44,0
Zafra,Badajoz,10,6642,0,10,0,0,3
Zamora,Zamora,43,9233,1,7,44,0,16
Zaragoza,Zaragoza,24,19884,1,4,22,0,15
Ágreda,Soria,64,6799,0,13,84,0,239
Álora,Málaga,6,6338,0,6,0,0,12
Ávila,Ávila,77,9492,1,5,98,0,22
Écija,Sevilla,3,10286,1,2,0,2,120
Órdenes,Coruña,8,6045,0,1,6,1008,12
Úbeda,Jaén,6,7232,1,5,0,0,3
